date,ip,attack_type,threat_theme,threat_level,is_malicious,abuseip_score,usage_type,abuseip_categories,abuseip_distinct_users,abuseip_last_reported,country,asn,isp,infra_owner
22-04-26,1.0.148.170,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2022-11-26T17:23:53+00:00,Thailand,AS23969,TOT,TOT
22-04-26,66.249.68.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS15169,Google,Google
22-04-26,34.146.150.144,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,2025-09-06T07:42:52+00:00,Japan,AS396982,Google,Google
22-04-26,104.255.58.44,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Germany,AS16509,Amazon,Amazon
22-04-26,104.40.0.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,2022-10-01T07:00:15+00:00,United States,AS8075,Microsoft,Microsoft
29-08-25,167.88.164.166,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS14956,RouterHosting,FranTech
22-04-26,1.0.148.55,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,AS23969,TOT,TOT
22-04-26,13.130.0.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS16509,Amazon,Amazon
22-04-26,79.116.20.17,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Spain,AS57269,Digi Spain S.L.U,Digi Spain S.A
12-05-25,223.184.254.150,exploit_delivery,general_threat,2,1,0,Mobile ISP,19,1,2026-03-13T17:42:14+00:00,India,AS45609,Airtel,Airtel
29-08-25,172.86.102.83,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,2024-06-10T02:54:18+00:00,United States,AS14956,RouterHosting,FranTech
29-08-25,172.86.70.73,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Germany,AS14956,RouterHosting,FranTech
22-04-26,13.107.219.0,none,verified_service,0,0,0,Content Delivery Network,No_Reports,0,Never_Reported,Canada,AS8075,Microsoft,Microsoft
22-04-26,102.37.24.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,South Africa,AS8075,Microsoft,Microsoft
29-08-25,45.61.154.130,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United Kingdom,AS198983,FranTech,RouterHosting
22-04-26,1.0.153.172,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2021-06-17T05:58:34+00:00,Thailand,AS23969,TOT,TOT
22-04-26,111.125.138.29,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,India,AS45232,Spacenet,509 Jaina tower 1st District
23-07-25,188.130.206.168,espionage,general_threat,4,1,0,Data Center/Web Hosting/Transit,No_Reports,0,2025-07-23T21:31:24+00:00,Finland,AS56971,CGI GLOBAL,CGI GLOBAL
22-04-26,34.126.178.96,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Singapore,AS396982,Google,Google
20-02-26,147.45.45.110,unknown_attack,general_threat,3,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Netherlands,AS205775,Neon Core,Partner
22-04-26,45.90.28.41,none,verified_service,0,0,0,Content Delivery Network,No_Reports,0,Never_Reported,United States,AS34939,nextdns,nextdns
22-04-26,185.189.100.211,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Russia,AS47895,Erline,Rline
22-04-26,8.20.247.55,none,verified_service,0,0,0,Content Delivery Network,No_Reports,0,Never_Reported,United States,AS23393,Flexential,DNS
22-04-26,13.107.246.0,none,verified_service,0,0,0,Content Delivery Network,No_Reports,0,Never_Reported,Canada,AS8075,Microsoft,Microsoft
12-05-25,188.166.87.88,exploit_delivery,general_threat,2,1,2,Data Center/Web Hosting/Transit,18,1,2026-04-07T14:44:57+00:00,Netherlands,AS14061,DigitalOcean,DigitalOcean
22-04-26,1.241.99.248,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,South Korea,AS9318,SK,broadNnet
22-04-26,150.171.40.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS8075,Microsoft,Microsoft
22-04-26,104.255.56.28,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS16509,Amazon,Amazon
22-04-26,23.103.160.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Japan,AS8075,Microsoft,Microsoft
22-04-26,104.255.59.122,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,India,AS16509,Amazon,Amazon
29-08-25,172.86.101.123,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS14956,RouterHosting,FranTech
22-04-26,58.82.128.73,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,2023-12-28T20:30:30+00:00,Thailand,AS55423,JasTel,Unknown
22-04-26,61.100.13.46,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,South Korea,AS9952,Sejong,Hostway
01-02-26,146.0.41.206,espionage,mobile_devices,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Germany,AS24961,WIIT AG,Myloc De Steffenruehl
